번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1103504,화학전공,20131014,2008,식물생리학,2005,"Taiz, Lincoln",라이프사이언스,571.2 T135p3K전
AJ1110994,물리학전공,20140630,2012,생명의 원리,2012,"Hillis, David M",라이프사이언스,570 P957pK강
AJ1103184,화학전공,20140912,2009,생명의 원리,2012,"Hillis, David M",라이프사이언스,570 P957pK강
AJ1107510,수학전공,20131121,2012,생명의 원리,2012,"Hillis, David M",라이프사이언스,570 P957pK강
AJ1107255,화학전공,20130415,2012,생명의 원리,2012,"Hillis, David M",라이프사이언스,570 P957pK강
AJ1108116,물리학전공,20130403,2011,생명과학,2004,"Postlethwait, John H",광림사,570 P858eK생
AJ1106287,화학전공,20130523,2009,생명과학,2007,"Mader, Sylvia S",지코사이언스,570 M181b9K전
AJ1107647,물리학전공,20130122,2010,생명과학,2008,"Campbell, Neil, A. 1946-",바이오사이언스,570 C189b8K전
AJ1102214,수학전공,20111128,2008,생명과학,2008,"Campbell, Neil, A. 1946-",바이오사이언스,570 C189b8K전
AJ1106263,수학전공,20110701,2009,생명과학,2006,"Campbell, Neil A",라이프사이언스,570 C189b7K전
AJ1107728,화학전공,20120516,2012,(캠벨) 생명과학,2012,"Reece, Jane B",바이오사이언스,570 C187c9K전
AJ1107510,수학전공,20131214,2012,생명과학,2009,"Russell, Peter J",라이프사이언스,570 B615rK홍수
AJ1103504,화학전공,20131014,2008,생명과학,2009,"Russell, Peter J",라이프사이언스,570 B615rK홍수
AJ1110671,수학전공,20140528,2014,생명과학,2008,Biology,녹문당,570 B615r7K생
AJ1104276,물리학전공,20111001,2010,고분자화학,1996,"Odian, George",喜重堂,547.22 O24p3K김
AJ1100772,화학전공,20140319,2007,유기화학실험,2008,"Wilcox, Charles F",淸文閣,547.0078 W667eK화
AJ1103911,화학전공,20140322,2010,실험유기화학,2005,류해일,공주대학교 출판부,547.00724 류93실
AJ1103197,화학전공,20140321,2009,실험유기화학,2005,류해일,공주대학교 출판부,547.00724 류93실
AJ1105648,화학전공,20120315,2010,실험유기화학,2005,류해일,공주대학교 출판부,547.00724 류93실
AJ1100374,화학전공,20110316,2006,실험유기화학,1992,윤용진,自由아카데미,547.0072 윤65실개
AJ1103197,화학전공,20140327,2009,유기화학실험,2001,허태성,논문당,547 유18허
AJ1106287,화학전공,20120314,2009,유기화학실험,2001,허태성,논문당,547 유18허
AJ1108123,화학전공,20140303,2011,유기화학실험,2005,문석식,자유아카데미,547 유18문2
AJ1105648,화학전공,20120510,2010,유기화학실험,2005,문석식,자유아카데미,547 유18문2
AJ1107247,화학전공,20130911,2012,유기화학,2006,"Wade, Leroy G",淸文閣,547 W121o6K김
AJ1104967,화학전공,20130325,2011,유기화학,2006,"Wade, Leroy G",淸文閣,547 W121o6K김
AJ1103504,화학전공,20110323,2008,유기화학,2006,"Wade, Leroy G",淸文閣,547 W121o6K김
AJ1103504,화학전공,20110601,2008,핵심유기화학,2005,"Solomons, T. W. Graham",범한서적,547 S689oK이
AJ1105839,화학전공,20141013,2011,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1105686,화학전공,20140402,2011,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1105386,화학전공,20150214,2010,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1105835,화학전공,20141008,2011,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1105647,물리학전공,20140318,2010,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1104967,화학전공,20131031,2011,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1107255,화학전공,20130321,2012,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1105672,화학전공,20120425,2011,(스미스의) 유기화학,2010,"Smith, Janice Gorzynski",사이플러스,547 S653o3K유
AJ1103197,화학전공,20140416,2009,Organic chemistry,2008,"Smith, Janice Gorzynski",McGraw Hill/Higher Education,547 S653o2
AJ1105647,물리학전공,20140609,2010,Organic chemistry,2008,"Smith, Janice Gorzynski",McGraw Hill/Higher Education,547 S653o2
AJ1106341,화학전공,20130909,2011,Organic chemistry,2008,"Smith, Janice Gorzynski",McGraw Hill/Higher Education,547 S653o2
AJ1105304,화학전공,20130521,2010,Organic chemistry,2006,"Smith, Janice G",McGraw-Hill,547 S653o
AJ1109151,화학전공,20140529,2013,Organic chemistry,2011,"Smith, Janice G",McGraw-Hill,547 S651o3
AJ1109146,화학전공,20140424,2013,Organic chemistry,2011,"Smith, Janice G",McGraw-Hill,547 S651o3
